EpochTime, CurrentBufferSize, Bitrate, DownloadRate, state
0.169910907745,1,89283,5606.19014064,1
0.383448839188,1,791182,120417.998156,1
1.12088894844,2,1546902,202496.887511,1
2.14581489563,3,3526922,497441.737007,1
14.8645780087,1,89283,93768.4070513,3
15.1108210087,1,89283,125700.831577,3
15.3310678005,2,178351,126588.423885,3
15.5628957748,3,334349,197181.038433,3
15.9133219719,4,791182,310689.067904,3
16.2682228088,5,1546902,586147.57363,3
16.7736577988,6,4219897,509264.795564,3
18.3730769157,6,4219897,394239.256022,3
20.2631738186,6,4219897,434393.729698,3
25.5479409695,4,791182,392560.327067,3
26.9274718761,5,791182,156834.853713,3
27.5121397972,5,1546902,397877.753579,3
28.6196489334,6,3526922,480683.326369,3
32.5891518593,5,1546902,302910.893862,3
33.7567298412,5,1546902,393613.3214,3
34.6430139542,6,4219897,535462.960128,3
37.3699498177,5,1546902,424942.813047,3
39.4955098629,5,1546902,231137.368347,3
40.2746369839,6,4219897,605997.945644,3
42.6874198914,6,4219897,505569.200378,3
45.1220309734,5,1546902,479623.345965,3
47.7288908958,5,1546902,181019.645864,3
49.1428978443,5,1546902,332664.18543,3
50.9309098721,6,1546902,272733.526472,3
51.9396369457,6,3526922,515858.100789,3
57.1826488972,4,791182,78711.7469487,3
59.6943860054,4,791182,62500.4496659,3
64.7239677906,3,334349,32559.9558471,3
64.9858210087,3,334349,310243.417571,3
65.2560758591,4,791182,314095.938529,3
65.9012849331,5,1546902,350378.647351,3
66.6871597767,6,4219897,572865.992514,3
68.567595005,6,4219897,361953.882608,3
70.7675418854,6,4219897,303706.755479,3
73.7665109634,5,1546902,452227.933367,3
76.1993968487,5,1546902,204775.891647,3
77.8854370117,5,1546902,322483.395827,3
78.6895499229,6,4219897,552292.736373,3
79.9125008583,6,4219897,609157.233573,3
80.851598978,7,4219897,348058.106647,3
82.8145449162,7,4219897,263067.844448,3
84.490904808,7,4219897,312523.146577,3
86.9193129539,7,4219897,325558.138857,3
88.5379879475,7,4219897,195399.330567,3
90.6749799252,7,4219897,213510.620366,3
92.8234269619,7,4219897,247886.923367,3
95.4025568962,6,4219897,204277.29836,3
99.3175327778,5,1546902,233506.900227,3
