[2020-12-28 14:27:17]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s2.m4s/seg=13
[2020-12-28 14:27:17]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s2.m4s/seg=14
[2020-12-28 14:27:17]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s2.m4s/seg=15
[2020-12-28 14:27:17]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s2.m4s/seg=16
[2020-12-28 14:27:17]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s2.m4s/seg=17
[2020-12-28 14:27:17]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s2.m4s/seg=18
[2020-12-28 14:27:17]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s2.m4s/seg=19
[2020-12-28 14:27:17]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s2.m4s/seg=20
[2020-12-28 14:27:17]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s2.m4s/seg=21
[2020-12-28 14:27:17]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s2.m4s/seg=22
[2020-12-28 14:27:17]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s2.m4s/seg=23
[2020-12-28 14:27:17]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s2.m4s/seg=24
[2020-12-28 14:27:17]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s2.m4s/seg=25
[2020-12-28 14:27:17]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s2.m4s/seg=26
[2020-12-28 14:27:17]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s2.m4s/seg=27
[2020-12-28 14:27:17]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s2.m4s/seg=28
[2020-12-28 14:27:17]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s2.m4s/seg=29
[2020-12-28 14:27:17]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s2.m4s/seg=30
[2020-12-28 14:27:17]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s2.m4s/seg=31
[2020-12-28 14:27:17]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s2.m4s/seg=32
[2020-12-28 14:27:17]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s2.m4s/seg=33
[2020-12-28 14:27:17]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s2.m4s/seg=34
[2020-12-28 14:27:17]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s2.m4s/seg=35
[2020-12-28 14:27:17]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s2.m4s/seg=36
[2020-12-28 14:27:17]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s2.m4s/seg=37
[2020-12-28 14:27:17]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s2.m4s/seg=38
[2020-12-28 14:27:17]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s2.m4s/seg=39
[2020-12-28 14:27:17]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s2.m4s/seg=40
[2020-12-28 14:27:17]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s2.m4s/seg=41
[2020-12-28 14:27:17]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s2.m4s/seg=42
[2020-12-28 14:27:17]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s2.m4s/seg=43
[2020-12-28 14:27:17]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s2.m4s/seg=44
[2020-12-28 14:27:17]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s2.m4s/seg=45
[2020-12-28 14:27:17]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s2.m4s/seg=46
[2020-12-28 14:27:17]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s2.m4s/seg=47
[2020-12-28 14:27:17]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s2.m4s/seg=48
[2020-12-28 14:27:17]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s2.m4s/seg=49
[2020-12-28 14:27:17]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s2.m4s/seg=50
[2020-12-28 14:27:17]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s2.m4s/seg=51
[2020-12-28 14:27:17]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s2.m4s/seg=52
[2020-12-28 14:27:17]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s2.m4s/seg=53
[2020-12-28 14:27:17]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s2.m4s/seg=54
[2020-12-28 14:27:17]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s2.m4s/seg=55
[2020-12-28 14:27:17]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s2.m4s/seg=56
[2020-12-28 14:27:17]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s2.m4s/seg=57
[2020-12-28 14:27:17]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s2.m4s/seg=58
[2020-12-28 14:27:17]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s2.m4s/seg=59
[2020-12-28 14:27:17]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s2.m4s/seg=60
[2020-12-28 14:27:17]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s2.m4s/seg=61
[2020-12-28 14:27:17]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s2.m4s/seg=62
[2020-12-28 14:27:18]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s2.m4s/seg=63
